trialID	trialType	cond	animacy	Target	Contrast	Competitor	Distractor	audio
test1001	low-entropy_man-made	contrast	inanimate	cup_red	cup_green	shoes_red	fish_blue	cup_red
test1002	low-entropy_man-made	contrast	inanimate	bucket_black	bucket_blue	butterfly_black	ball_yellow	bucket_black
test1003	low-entropy_man-made	contrast	inanimate	book_red	book_green	shoes_red	spider_white	book_red
test1004	low-entropy_man-made	contrast	inanimate	car_black	car_blue	pants_black	shoes_white	car_black
test1005	low-entropy_man-made	contrast	inanimate	pot_red	pot_yellow	shirt_red	frog_blue	pot_red
test1006	low-entropy_man-made	contrast	inanimate	shirt_black	shirt_green	dog_black	eyes_yellow	shirt_black
test1007	low-entropy_man-made	contrast	inanimate	shoes_red	shoes_white	bird_red	shirt_blue	shoes_red
test1008	low-entropy_man-made	contrast	inanimate	towel_black	towel_red	pot_black	stone_yellow	towel_black
test1009	low-entropy_man-made	contrast	inanimate	chair_red	chair_green	book_red	towel_blue	chair_red
test1010	low-entropy_man-made	contrast	inanimate	pot_black	pot_yellow	bowl_black	cup_blue	pot_black
test1011	low-entropy_man-made	no_contrast	inanimate	rope_red	eyes_green	pencil_red	bird_black	rope_red
test1012	low-entropy_man-made	no_contrast	inanimate	comb_black	pepper_yellow	towel_black	fish_red	comb_black
test1013	low-entropy_man-made	no_contrast	inanimate	pencil_red	butterfly_blue	shirt_red	pepper_green	pencil_red
test1014	low-entropy_man-made	no_contrast	inanimate	ball_black	dog_white	frog_black	cup_yellow	ball_black
test1015	low-entropy_man-made	no_contrast	inanimate	bowl_red	fish_blue	shirt_red	apple_green	bowl_red
test1016	low-entropy_man-made	no_contrast	inanimate	shoes_black	monkey_white	bird_black	book_yellow	shoes_black
test1017	low-entropy_man-made	no_contrast	inanimate	pants_red	horse_white	car_red	eggs_blue	pants_red
test1018	low-entropy_man-made	no_contrast	inanimate	chair_black	spider_red	rope_black	comb_blue	chair_black
test1019	low-entropy_man-made	no_contrast	inanimate	shirt_red	pencil_yellow	stone_red	bird_blue	shirt_red
test1020	low-entropy_man-made	no_contrast	inanimate	pencil_black	leaf_green	bird_black	flower_yellow	pencil_black
test1021	low-entropy_natural	contrast	inanimate	apple_red	apple_green	fish_red	book_blue	apple_red
test1022	low-entropy_natural	contrast	inanimate	flower_black	flower_yellow	ball_black	bird_blue	flower_black
test1023	low-entropy_natural	contrast	inanimate	leaf_red	leaf_green	flower_red	cup_white	leaf_red
test1024	low-entropy_natural	contrast	animate	horse_black	horse_white	shoes_black	eyes_blue	horse_black
test1025	low-entropy_natural	contrast	inanimate	pepper_red	pepper_green	pot_red	spider_blue	pepper_red
test1026	low-entropy_natural	contrast	animate	butterfly_black	butterfly_green	shoes_black	bird_red	butterfly_black
test1027	low-entropy_natural	contrast	inanimate	tomato_red	tomato_green	cup_red	pot_blue	tomato_red
test1028	low-entropy_natural	contrast	animate	spider_black	spider_red	comb_black	pencil_blue	spider_black
test1029	low-entropy_natural	contrast	animate	fish_red	fish_yellow	book_red	cup_blue	fish_red
test1030	low-entropy_natural	contrast	animate	bird_black	bird_yellow	horse_black	pot_green	bird_black
test1031	low-entropy_natural	no_contrast	animate	spider_red	rope_blue	shirt_red	frog_black	spider_red
test1032	low-entropy_natural	no_contrast	animate	frog_black	ball_white	cup_black	pepper_yellow	frog_black
test1033	low-entropy_natural	no_contrast	animate	bird_red	comb_green	book_red	bowl_yellow	bird_red
test1034	low-entropy_natural	no_contrast	inanimate	flower_red	pot_green	cup_red	bowl_blue	flower_red
test1035	low-entropy_natural	no_contrast	animate	butterfly_red	eyes_green	leaf_red	monkey_black	butterfly_red
test1036	low-entropy_natural	no_contrast	animate	monkey_black	pencil_white	bowl_black	cup_blue	monkey_black
test1037	low-entropy_natural	no_contrast	animate	snake_red	shoes_white	pepper_red	cup_green	snake_red
test1038	low-entropy_natural	no_contrast	inanimate	stone_black	car_blue	spider_black	chair_red	stone_black
test1039	low-entropy_natural	no_contrast	animate	frog_red	shirt_white	rope_red	ball_blue	frog_red
test1040	low-entropy_natural	no_contrast	animate	dog_black	ball_white	snake_black	cup_yellow	dog_black
test1041	high-entropy_man-made	contrast	inanimate	bowl_blue	bowl_yellow	stone_blue	pencil_red	bowl_blue
test1042	high-entropy_man-made	contrast	inanimate	cup_yellow	cup_black	pencil_yellow	flower_red	cup_yellow
test1043	high-entropy_man-made	contrast	inanimate	book_blue	book_yellow	bucket_blue	comb_black	book_blue
test1044	high-entropy_man-made	contrast	inanimate	pot_yellow	pot_blue	shirt_yellow	dog_black	pot_yellow
test1045	high-entropy_man-made	contrast	inanimate	car_blue	car_yellow	spider_blue	butterfly_black	car_blue
test1046	high-entropy_man-made	contrast	inanimate	ball_yellow	ball_red	eyes_yellow	spider_black	ball_yellow
test1047	high-entropy_man-made	contrast	inanimate	rope_blue	rope_white	chair_blue	dog_black	rope_blue
test1048	high-entropy_man-made	contrast	inanimate	shirt_yellow	shirt_white	stone_yellow	fish_red	shirt_yellow
test1049	high-entropy_man-made	contrast	inanimate	chair_blue	chair_red	cup_blue	flower_yellow	chair_blue
test1050	high-entropy_man-made	contrast	inanimate	pencil_blue	pencil_red	shoes_blue	chair_white	pencil_blue
test1051	high-entropy_man-made	no_contrast	inanimate	bowl_yellow	banana_green	shirt_yellow	pot_red	bowl_yellow
test1052	high-entropy_man-made	no_contrast	inanimate	towel_yellow	apple_red	stone_yellow	spider_blue	towel_yellow
test1053	high-entropy_man-made	no_contrast	inanimate	pot_blue	pepper_green	comb_blue	eyes_yellow	pot_blue
test1054	high-entropy_man-made	no_contrast	inanimate	car_yellow	tomato_red	towel_yellow	comb_black	car_yellow
test1055	high-entropy_man-made	no_contrast	inanimate	comb_blue	tomato_green	spider_blue	bowl_red	comb_blue
test1056	high-entropy_man-made	no_contrast	inanimate	pencil_yellow	stone_blue	frog_yellow	monkey_white	pencil_yellow
test1057	high-entropy_man-made	no_contrast	inanimate	ball_blue	bird_red	fish_blue	flower_yellow	ball_blue
test1058	high-entropy_man-made	no_contrast	inanimate	bucket_yellow	eggs_blue	butterfly_yellow	monkey_black	bucket_yellow
test1059	high-entropy_man-made	no_contrast	inanimate	towel_blue	flower_white	spider_blue	dog_black	towel_blue
test1060	high-entropy_man-made	no_contrast	inanimate	comb_yellow	butterfly_green	car_yellow	ball_red	comb_yellow
test1061	high-entropy_natural	contrast	inanimate	banana_yellow	banana_green	cup_yellow	bowl_white	banana_yellow
test1062	high-entropy_natural	contrast	animate	frog_blue	frog_black	fish_blue	eggs_white	frog_blue
test1063	high-entropy_natural	contrast	animate	frog_yellow	frog_red	cup_yellow	chair_black	frog_yellow
test1064	high-entropy_natural	contrast	animate	fish_blue	fish_yellow	pencil_blue	dog_white	fish_blue
test1066	high-entropy_natural	contrast	inanimate	leaf_yellow	leaf_green	rope_yellow	comb_white	leaf_yellow
test1065	high-entropy_natural	contrast	animate	bird_blue	bird_red	eggs_blue	comb_black	bird_blue
test1067	high-entropy_natural	contrast	inanimate	eggs_blue	eggs_white	shoes_blue	leaf_red	eggs_blue
test1068	high-entropy_natural	contrast	animate	fish_yellow	fish_red	leaf_yellow	rope_blue	fish_yellow
test1069	high-entropy_natural	contrast	inanimate	flower_yellow	flower_green	eyes_yellow	fish_red	flower_yellow
test1070	high-entropy_natural	contrast	animate	butterfly_blue	butterfly_red	eggs_blue	pot_yellow	butterfly_blue
test1071	high-entropy_natural	no_contrast	inanimate	pepper_yellow	towel_red	pants_yellow	pot_blue	pepper_yellow
test1072	high-entropy_natural	no_contrast	animate	spider_blue	pot_black	snake_blue	pants_yellow	spider_blue
test1073	high-entropy_natural	no_contrast	animate	snake_yellow	bowl_black	comb_yellow	eggs_white	snake_yellow
test1074	high-entropy_natural	no_contrast	inanimate	flower_blue	pencil_white	cup_blue	spider_black	flower_blue
test1075	high-entropy_natural	no_contrast	inanimate	stone_yellow	ball_red	pot_yellow	shoes_black	stone_yellow
test1076	high-entropy_natural	no_contrast	animate	snake_blue	comb_black	stone_blue	tomato_red	snake_blue
test1077	high-entropy_natural	no_contrast	inanimate	eyes_blue	pot_yellow	frog_blue	dog_black	eyes_blue
test1078	high-entropy_natural	no_contrast	animate	bird_yellow	car_red	ball_yellow	towel_blue	bird_yellow
test1079	high-entropy_natural	no_contrast	inanimate	stone_blue	comb_red	bowl_blue	towel_green	stone_blue
test1080	high-entropy_natural	no_contrast	animate	butterfly_yellow	towel_black	bucket_yellow	ball_blue	butterfly_yellow
test1081	control_size	contrast	inanimate	pencil_small	pencil_big	horse_small	eggs_blue	pencil_small
test1082	control_size	contrast	inanimate	cup_big	cup_small	flower_big	leaf_small	cup_big
test1083	control_size	contrast	inanimate	chair_small	chair_big	bird_small	flower_white	chair_small
test1084	control_size	contrast	inanimate	car_big	car_small	snake_big	eyes_small	car_big
test1085	control_size	contrast	inanimate	bucket_small	bucket_big	cup_small	leaf_yellow	bucket_small
