trialID	trialType	cond	animacy	Target	Contrast	Competitor	Distractor	audio
test1086	control_size	contrast	inanimate	book_big	book_small	shoes_big	horse_small	book_big
test1087	control_size	contrast	animate	monkey_big	monkey_small	pot_big	banana_small	monkey_big
test1088	control_size	contrast	inanimate	bowl_big	bowl_small	comb_big	dog_small	bowl_big
test1089	control_size	contrast	inanimate	shoes_small	shoes_big	eggs_small	monkey_white	shoes_small
test1090	control_size	contrast	inanimate	pants_small	pants_big	monkey_small	comb_black	pants_small
test1091	control_size	no_contrast	animate	butterfly_big	bird_small	fish_big	pepper_small	butterfly_big
test1092	control_size	no_contrast	inanimate	apple_small	fish_big	cup_small	dog_black	apple_small
test1093	control_size	no_contrast	inanimate	pencil_big	pepper_small	fish_big	banana_small	pencil_big
test1094	control_size	no_contrast	inanimate	cup_small	apple_big	shoes_small	banana_green	cup_small
test1095	control_size	no_contrast	animate	horse_small	cup_big	chair_small	butterfly_blue	horse_small
test1096	control_size	no_contrast	inanimate	flower_big	eggs_small	pencil_big	shirt_small	flower_big
test1097	control_size	no_contrast	animate	bird_big	flower_small	shoes_big	eyes_small	bird_big
test1098	control_size	no_contrast	inanimate	banana_small	book_big	butterfly_small	pot_blue	banana_small
test1099	control_size	no_contrast	animate	butterfly_small	bird_big	book_small	pepper_red	butterfly_small
test1100	control_size	no_contrast	inanimate	pepper_big	comb_small	shirt_big	dog_small	pepper_big
filler1001	filler_filler	pair	inanimate	ball_small	pencil_big	flower_big	flower_small	ball
filler1002	filler_filler	pair	inanimate	pot_big	pencil_big	bird_big	bird_small	pot
filler1003	filler_filler	pair	animate	spider_small	cup_green	eggs_small	eggs_big	spider
filler1004	filler_filler	pair	animate	dog_big	chair_yellow	butterfly_small	butterfly_big	dog
filler1005	filler_filler	pair	animate	horse_small	ball_black	pepper_big	pepper_small	horse
filler1006	filler_filler	pair	inanimate	stone_black	bucket_red	bird_green	bird_white	stone
filler1007	filler_filler	pair	inanimate	comb_red	eyes_green	dog_black	dog_white	comb
filler1008	filler_filler	pair	inanimate	pencil_white	shirt_blue	pants_green	pants_red	pencil
filler1009	filler_filler	pair	inanimate	cup_green	bowl_white	chair_blue	chair_red	cup
filler1010	filler_filler	pair	inanimate	bucket_green	shoes_red	eggs_blue	eggs_white	bucket
filler1011	filler_filler	no_pair	inanimate	towel_white	pot_yellow	cup_red	fish_green	towel
filler1012	filler_filler	no_pair	inanimate	flower_green	stone_yellow	bucket_black	pot_blue	flower
filler1013	filler_filler	no_pair	animate	monkey_small	shirt_green	book_red	ball_black	monkey
filler1014	filler_filler	no_pair	animate	fish_green	bucket_green	car_black	pot_blue	fish
filler1015	filler_filler	no_pair	inanimate	pepper_small	bowl_white	pot_red	cup_blue	pepper
filler1016	filler_filler	no_pair	animate	frog_big	monkey_white	pencil_big	apple_small	frog
filler1017	filler_filler	no_pair	animate	butterfly_small	cup_blue	shoes_small	pants_small	butterfly
filler1018	filler_filler	no_pair	inanimate	car_big	monkey_black	dog_small	shirt_big	car
filler1019	filler_filler	no_pair	inanimate	tomato_small	ball_red	cup_small	banana_small	tomato
filler1020	filler_filler	no_pair	inanimate	eggs_big	ball_yellow	fish_small	cup_small	eggs
