trialID	trialType	cond	animacy	Target	Contrast	Competitor	Distractor	audio
test2061	high-entropy_natural	contrast	inanimate	pepper_yellow	pepper_red	pants_yellow	pot_blue	pepper_yellow
test2062	high-entropy_natural	contrast	animate	spider_blue	spider_black	snake_blue	pants_yellow	spider_blue
test2063	high-entropy_natural	contrast	animate	snake_yellow	snake_black	comb_yellow	eggs_white	snake_yellow
test2064	high-entropy_natural	contrast	inanimate	flower_blue	flower_white	cup_blue	spider_black	flower_blue
test2065	high-entropy_natural	contrast	inanimate	stone_yellow	stone_red	pot_yellow	shoes_black	stone_yellow
test2066	high-entropy_natural	contrast	animate	snake_blue	snake_black	stone_blue	tomato_red	snake_blue
test2067	high-entropy_natural	contrast	inanimate	eyes_blue	eyes_yellow	frog_blue	dog_black	eyes_blue
test2068	high-entropy_natural	contrast	animate	bird_yellow	bird_red	ball_yellow	towel_blue	bird_yellow
test2069	high-entropy_natural	contrast	inanimate	stone_blue	stone_yellow	bowl_blue	towel_green	stone_blue
test2070	high-entropy_natural	contrast	animate	butterfly_yellow	butterfly_black	bucket_yellow	ball_blue	butterfly_yellow
test2071	high-entropy_natural	no_contrast	inanimate	banana_yellow	frog_green	cup_yellow	bowl_white	banana_yellow
test2072	high-entropy_natural	no_contrast	animate	frog_blue	cup_black	fish_blue	eggs_white	frog_blue
test2073	high-entropy_natural	no_contrast	animate	frog_yellow	pants_red	cup_yellow	chair_black	frog_yellow
test2074	high-entropy_natural	no_contrast	animate	fish_blue	shirt_yellow	pencil_blue	dog_white	fish_blue
test2075	high-entropy_natural	no_contrast	inanimate	leaf_yellow	fish_green	rope_yellow	comb_white	leaf_yellow
test2076	high-entropy_natural	no_contrast	animate	bird_blue	shoes_red	eggs_blue	comb_black	bird_blue
test2077	high-entropy_natural	no_contrast	inanimate	eggs_blue	car_white	shoes_blue	leaf_red	eggs_blue
test2078	high-entropy_natural	no_contrast	animate	fish_yellow	pencil_red	leaf_yellow	rope_blue	fish_yellow
test2079	high-entropy_natural	no_contrast	inanimate	flower_yellow	snake_green	eyes_yellow	fish_red	flower_yellow
test2080	high-entropy_natural	no_contrast	animate	butterfly_blue	flower_red	eggs_blue	pot_yellow	butterfly_blue
test2081	control_size	contrast	animate	butterfly_big	butterfly_small	fish_big	pepper_small	butterfly_big
test2082	control_size	contrast	inanimate	apple_small	apple_big	cup_small	dog_black	apple_small
test2083	control_size	contrast	inanimate	pencil_big	pencil_small	fish_big	banana_small	pencil_big
test2084	control_size	contrast	inanimate	cup_small	cup_big	shoes_small	banana_green	cup_small
test2085	control_size	contrast	animate	horse_small	horse_big	chair_small	butterfly_blue	horse_small
test2086	control_size	contrast	inanimate	flower_big	flower_small	pencil_big	shirt_small	flower_big
test2087	control_size	contrast	animate	bird_big	bird_small	shoes_big	eyes_small	bird_big
test2088	control_size	contrast	inanimate	banana_small	banana_big	butterfly_small	pot_blue	banana_small
test2089	control_size	contrast	animate	butterfly_small	butterfly_big	book_small	pepper_red	butterfly_small
test2090	control_size	contrast	inanimate	pepper_big	pepper_small	shirt_big	dog_small	pepper_big
test2091	control_size	no_contrast	inanimate	pencil_small	pepper_big	horse_small	eggs_blue	pencil_small
test2092	control_size	no_contrast	inanimate	cup_big	butterfly_small	flower_big	leaf_small	cup_big
test2093	control_size	no_contrast	inanimate	chair_small	pants_big	bird_small	flower_white	chair_small
test2094	control_size	no_contrast	inanimate	car_big	towel_small	snake_big	eyes_small	car_big
test2095	control_size	no_contrast	inanimate	bucket_small	shoes_big	cup_small	leaf_yellow	bucket_small
test2096	control_size	no_contrast	inanimate	book_big	banana_small	shoes_big	horse_small	book_big
test2097	control_size	no_contrast	animate	monkey_big	snake_small	pot_big	banana_small	monkey_big
test2098	control_size	no_contrast	inanimate	bowl_big	bird_small	comb_big	dog_small	bowl_big
test2099	control_size	no_contrast	inanimate	shoes_small	chair_big	eggs_small	monkey_white	shoes_small
test2100	control_size	no_contrast	inanimate	pants_small	shirt_big	monkey_small	comb_black	pants_small
filler2001	filler_filler	pair	inanimate	ball_small	pencil_big	flower_big	flower_small	ball
filler2002	filler_filler	pair	inanimate	pot_big	pencil_big	bird_big	bird_small	pot
filler2003	filler_filler	pair	animate	spider_small	cup_green	eggs_small	eggs_big	spider
